Type,Crop,Season,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Foodgrains,Production,Rabi,6.5,6.4,6.51,6.84,7.4,8.62,9.14,9.74,9.99,6.84,7.4
Foodgrains,Rice,Total,85.2,85.6,85.72,85.72,90.7,92.83,94.02,94.87,97.24,85.72,90.7
Foodgrains,Rice,Kharif,73.3,74.4,74.55,74.47,78.39,79.65,80.38,80.9,83.41,74.47,78.39
Foodgrains,Rice,Rabi,11.9,11.2,11.18,11.25,12.31,13.18,13.64,13.97,13.83,11.25,12.31
Foodgrains,Wheat,Kharif,71,71.3,69.73,70.34,72.9,74.61,77.04,80.55,84.36,70.34,72.9
Foodgrains,Jowar,Total,7.8,7.6,7.22,7.14,7.33,7.44,7.33,7.21,6.97,7.14,7.33
Foodgrains,Jowar,Kharif,4.6,4.5,4.28,4.18,4.16,3.8,3.54,3.42,3.33,4.18,4.16
Foodgrains,Jowar,Rabi,3.2,3,2.94,2.96,3.17,3.64,3.79,3.79,3.64,2.96,3.17
Foodgrains,Bajra,,6.5,7.5,8.15,8.17,9.22,8.58,8.29,8.83,9.2,8.17,9.22
Foodgrains,Maize,Kharif,11.8,12.5,13.64,14.02,15.58,16.53,17.04,18.44,19.78,14.02,15.58
Foodgrains,Maize,Rabi,10,10.6,11.38,11.44,12.61,12.88,13.04,13.94,14.93,11.44,12.61
Foodgrains,Maize,Kharif,1.8,1.9,2.26,2.58,2.98,3.65,4,4.5,4.85,2.58,2.98
Foodgrains,Pulses,Rabi,12.8,12.8,13.18,13.35,14.08,14,14.31,15.28,15.86,13.35,14.08
Foodgrains,Tur,Kharif,2.4,2.4,2.38,2.39,2.57,2.55,2.57,2.6,2.66,2.39,2.57
Foodgrains,Gram,Rabi,5.1,4.9,5.3,5.47,5.77,6.04,6.44,6.97,7.24,5.47,5.77
Foodgrains,Pulses,Kharif,4.7,4.9,4.95,4.94,5.39,5.09,4.99,5.44,5.69,4.94,5.39
Foodgrains,Pulses,Rabi,8.1,7.9,8.24,8.41,8.69,8.91,9.32,9.84,10.17,8.41,8.69
Oilseeds,,,19.9,20,22.6,23.33,26.31,26.82,26.92,27.82,28.93,23.33,26.31
Oilseeds,Groundnut,,6.4,6.2,6.81,6.38,7.39,7.2,6.93,6.98,7.4,6.38,7.39
Oilseeds,Rapeseed,Rabi,4.9,5,6.2,6.67,7.06,7.24,7.04,7.05,6.89,6.67,7.06
Oilseeds,Soyabean,Kharif,6,6.2,6.72,7.29,8.56,8.97,9.59,10.49,11.16,7.29,8.56
Oilseeds,Sunflower,,0.8,0.8,1.02,1.13,1.25,1.29,1.23,1.07,0.93,1.13,1.25
Cash,Cotton,,10.4,10.7,13.46,15.98,19.43,21.14,22.66,25.56,28.08,15.98,19.43
Cash,Jute,,10.8,11.1,11.05,10.97,10.95,15.525,11.1,11.06,11.08,10.97,10.95
Cash,Onion,,4.8,4.7,6.08,6.54,7.81,7.81,NA,NA,NA,6.54,7.81
Cash,Potato,,23.6,23.5,23.56,23.19,24.25,24.25,NA,NA,NA,23.19,24.25
Cash,Sugarcane,,298.5,283.4,267.34,279.01,291.17,301.4,312.44,324.68,325.79,279.01,291.17
Foodgrains,,,1651,1668,1675,1679,1743,1779,1808,1851,1916,1679,1743
Foodgrains,,Kharif,1401,1429,1458,1460,1532,1552,1566,1598,1658,1460,1532
Foodgrains,,Rabi,2029,2036,2005,2009,2057,2109,2151,2203,2271,2009,2057
Foodgrains,,,1049,1082,1132,1142,1231,1277,1290,1364,1444,1142,1231
Foodgrains,,Kharif,1064,1113,1166,1161,1244,1252,1244,1311,1393,1161,1244
Foodgrains,,Rabi,999,976,1013,1075,1183,1363,1449,1548,1621,1075,1183
Foodgrains,Rice,,1938,1960,2001,2011,2101,2121,2148,2175,2228,2011,2101
Foodgrains,Rice,Kharif,1835,1867,1906,1914,2000,2016,2042,2068,2127,1914,2000
Foodgrains,Rice,Rabi,2972,2932,2996,3027,3093,3097,3092,3104,3122,3027,3093
Foodgrains,Wheat,Rabi,2692,2716,2662,2651,2690,2730,2777,2850,2946,2651,2690
Foodgrains,Jowar,Total,803,781,782,796,845,896,911,925,949,796,845
Foodgrains,Jowar,Kharif,989,995,1018,1029,1062,1055,1034,1039,1087,1029,1062
Foodgrains,Jowar,Rabi,633,591,585,604,667,774,820,842,851,604,667
Foodgrains,Bajra,Kharif,718,809,872,876,951,920,895,953,1009,876,951
Foodgrains,Maize,Total,1817,1870,1916,1901,2031,2109,2128,2249,2361,1901,2031
Foodgrains,Maize,Kharif,1713,1761,1786,1740,1853,1877,1875,1974,2089,1740,1853
Foodgrains,Maize,Rabi,2749,2853,3030,3220,3421,3741,3813,3963,3944,3220,3421
Foodgrains,,,595,595,593,594,610,614,625,644,662,594,610
Foodgrains,,Kharif,455,463,455,455,483,472,469,496,514,455,483
Foodgrains,,Rabi,723,723,725,725,729,742,760,772,789,725,729
Foodgrains,Tur,Kharif,703,681,687,681,717,717,726,702,703,681,717
Foodgrains,Gram,Rabi,796,795,803,803,808,826,847,865,881,803,808
Oilseeds,,,850,870,918,918,995,985,1000,1039,1081,918,995
Oilseeds,Groundnut,,970,981,1079,1031,1181,1144,1144,1187,1274,1031,1181
Oilseeds,Rapeseed,Rabi,924,985,1045,1063,1081,1080,1108,1123,1128,1063,1081
Oilseeds,Soyabean,Kharif,958,976,980,1006,1096,1068,1086,1138,1166,1006,1096
Oilseeds,Sunflower,,552,541,548,549,590,623,632,645,676,549,590
Cash,Cotton,,204,2108,273,324,379,396,412,440,456,324,379
Cash,Jute,,1944,1938,2030,2063,2093,6010,2172,2176,2195,2063,2093
Cash,Onion,,10540,10416,11678,11987,12520,12520,NA,NA,NA,11987,12520
Cash,Potato,,18343,18386,17950,16962,17207,17207,NA,NA,NA,16962,17207
Cash,Sugarcane,,69065,65945,64473,64969,66151,67024,67929,68554,69118,64969,66151
Foodgrains,,,42.2,44.2,NA,NA,NA,NA,NA,NA,NA,NA,7.27
Foodgrains,,Kharif,6.81,6.27,7.17,7.27,7.39,7.44,6.666,8.03,7.29,6.85,2.38
Foodgrains,,Rabi,2.74,2.58,2.6,2.38,2.52,2.67,2.6956,2.77,2.74,2.52,6.7
Foodgrains,Rice,,7.01,6.46,6.55,6.7,7.03,6.92,6.6342,6.24,6.7,6.71,5.06
Foodgrains,Rice,Kharif,5.07,5.13,5.15,5.06,5.08,4.96,4.8637,4.96,4.96,5.04,4.57
Foodgrains,Rice,Rabi,4.03,3.72,3.97,4.57,4.48,4.06,3.694,4.53,4.74,3.68,4.35
Foodgrains,Wheat,Rabi,4.29,4.24,4.27,4.35,4.48,4.61,4.54,4.72,4.63,4.39,2.38
Foodgrains,Jowar,,1.95,1.87,1.93,2.38,2.44,2.43,1.6191,1.49,2.32,2.31,7.45
Foodgrains,Jowar,Kharif,6.91,7.56,7.6,7.45,7.87,7.46,7.955,8.24,7.43,7.42,11.78
Foodgrains,Jowar,Rabi,12.68,12.47,11.68,11.78,11.29,11.91,12.459,12.86,13.5,14.13,13.45
Foodgrains,Bajra,Kharif,12.18,12.61,12.75,13.45,13.21,11.42,12.1127,13.03,10.86,10.11,5.4
Foodgrains,Maize,,5.39,5.3,5.46,5.4,5.49,5.43,5.4061,5.32,4.92,5.04,6.3
Foodgrains,Maize,Kharif,6.29,6.35,6.32,6.3,6.3,6.46,6.503,6.51,6.51,6.59,12.7
Foodgrains,Maize,Rabi,13.96,12.05,12.45,12.7,13.61,13.21,13.2719,15.08,14.44,12.17,3.17
Foodgrains,Ragi,Kharif,2.88,3.3,3.32,3.17,3.1,3.19,3.0328,3.17,3.21,2.89,20.04
Foodgrains,Millets,Kharif,20.2,19.29,19.64,20.04,19.08,19.76,19.322,19.8,20.13,19.96,0.99
Foodgrains,Barley,Rabi,1.03,1.04,1.03,0.99,1.01,1.03,1.009,0.99,0.95,0.93,6.36
Foodgrains,Cereals,,6.6,6.48,6.44,6.36,6.36,6.54,6.2423,5.56,6.04,6.09,3.36
Foodgrains,Cereals,Kharif,3.3,3.36,3.27,3.36,3.33,3.33,3.3068,3.47,3.38,3.33,16.229
Foodgrains,Cereals,Rabi,13.697,13.396,16.951,16.229,19.303,20.421,15.295,20.32,18.36,17.93,3.06
Foodgrains,Cereals,,4.035,3.6182,3.6778,3.06,3.47,4.143,4.4811,4.88,4.66,4.76,11.0986
Foodgrains,Cereals,Kharif,11.2126,7.7044,8.5868,11.0986,10.8641,12.2207,10.1506,9.22,14.05,15.62,5.805
Foodgrains,Cereals,Rabi,6.4698,5.023,5.7148,5.805,6.2919,5.1673,4.9028,7.06,6.87,7.63,6.499
Foodgrains,Tur,Kharif,6.5713,5.2575,6.154,6.499,8.206,6.481,5.761,8.34,8.87,7.32,14.763
Foodgrains,Pulses,Kharif,13.1931,13.109,12.9981,14.763,15.3078,15.6137,15.357,16.63,17.96,16.22,3.6868
Foodgrains,Gram,Rabi,2.905,2.3111,2.0676,3.6868,4.1645,4.1887,2.1521,1.88,4.18,4.3,9.599
Foodgrains,Pulses,Kharif,6.5621,10.495,13.489,9.599,12.186,11.275,10.955,13.88,12.1,10.93,13.747
Foodgrains,Pulses,Rabi,15.9567,14.1048,13.195,13.747,12.0705,13.9146,16.0178,14.95,20.39,23.42,12.6451
Foodgrains,Pulses,Kharif,10.323,10.5407,12.087,12.6451,15.1917,11.4276,12.5863,15.42,12.54,10.69,7.3447
Foodgrains,Pulses,Rabi,7.1569,6.8897,7.3597,7.3447,8.1433,7.3991,7.5531,7.62,6.41,8.35,25.3131
Oilseeds,,,24.7294,25.6707,25.1842,25.3131,26.8153,27.3298,26.95,27.87,28.39,28.07,14.2088
Oilseeds,Mesta,Kharif,17.9938,2.1508,11.445,14.2088,16.0587,16.6802,12.3501,18.83,19.47,18.03,8.263
Oilseeds,Mustard,Rabi,4.4066,6.1758,6.1272,8.263,6.5823,7.1023,7.5114,7.59,10.15,6.29,41.2145
Oilseeds,Groundnut,,44.2465,37.8363,40.4102,41.2145,42.0948,46.7293,43.1953,47.25,50.28,50.84,1.735
Oilseeds,Groundnut,Kharif,1.724,1.761,1.594,1.735,1.796,1.765,1.796,1.82,1.85,1.8,15.9745
Oilseeds,Groundnut,Rabi,16.0097,16.0554,15.6089,15.9745,16.0502,16.2956,15.7416,14.47,15.99,16.51,NA
Oilseeds,Castorseed,Kharif,NA,6.25,5.94,NA,NA,6.3125,5.3518,6.75,6.77,6.64,2231
Oilseeds,Sesamun,Kharif,2012,2138,2365,2231,2613,2744,2294,2530,2519,2616,1286
Oilseeds,Nigerseed,Kharif,1472,1405,1416,1286,1378,1551,1662,1763,1704,1889,1656
Oilseeds,Rapeseed,Rabi,1601,1192,1311,1656,1546,1766,1530,1479,2098,2329,1148
Oilseeds,Linseed,Rabi,1231,979,1111,1148,1238,1041,1008,1424,1384,1514,1423
Oilseeds,Safflower,Rabi,1629,1412,1551,1423,1831,1595,1560,1843,1874,1990,3393
Oilseeds,Sunflower,,3068,3092,3045,3393,3420,3388,3383,3526,3879,3698,1550
Oilseeds,Sunflower,Kharif,1490,1234,1073,1550,1709,1720,1330,1257,1798,1861,1289
Oilseeds,Sunflower,Rabi,954,1388,1776,1289,1548,1511,1377,1684,1629,1472,1167
Oilseeds,Soyabean,Kharif,1248,1131,1130,1167,1069,1168,1285,1162,1510,1657,940
Commercial,Cotton,Kharif,860,836,948,940,1150,1001,1039,1184,1155,1057,1369
Commercial,Jute,Kharif,1328,1300,1349,1369,1484,1363,1397,1432,1303,1658,1359
Commercial,Mesta,Kharif,3929,4040,3986,1359,4255,4231,4144,4280,4364,4258,4017
Commercial,Jute,Rabi,1288,1008,919,4017,1180,1263,931,1249,1348,1482,1354
Commercial,Sugarcane,Rabi,1539,1874,1847,1354,2125,2225,2477,2393,3162,2175,2399
Plantation,Potato,Rabi,2192,1961,2057,2399,2206,2365,2236,2386,2498,2547,2057
Plantation,Onion,,1672,1697,1548,2057,1785,1715,1780,1841,1945,1939,1760
Plantation,Tobacco,Kharif,2421,2479,2423,1760,2525,2493,2522,2601,2645,2711,43.81
Plantation,Coconut,Rabi,NA,41.91,43.66,43.81,43.91,45.54,41.92,42.86,44.01,42.8,93.36
Plantation,Cashewnut,,88.53,83.13,91.79,93.36,96.69,99.18,89.09,95.98,105.3,104.4,2131
Major,Rice,Kharif,NA,1984,2102,2131,2202,2178,2125,2239,2393,2462,3.98
Major,Wheat,Rabi,2.98,3.09,3.98,3.98,3.98,4.39,3.441,4.751,4.1,3.49,2.19
Major,Cereals,,2.53,2.38,2.42,2.19,2.32,2.48,2.4958,2.57,2.54,2.24,3.36
